image_id,caption,text_id,new_image_id,new_caption
Image14001001-0000.jpg,《绿色北京》摄影大赛胡子<人名>作品,1,140010010000,绿色北京 摄影大赛胡子 作品 
Image14001001-0002.jpg,招聘计划学校现有教职工1500余人.,2,140010010002,招聘计划学校 教职工 人 
Image14001001-0191.jpg,"大厨告诉你家常做法,让你吃一回",3,140010010191,你家常做法 大厨 
Image14001001-0210.jpg,"暴雪袭击合肥:""城市守护者""带来融融暖意",4,140010010210,融融暖意 城市守护者 暴雪 
Image14001001-0214.jpg,"比乔家大院大5000倍,历时400年建成,山西民居全国罕见",5,140010010214,乔家大院 山西民居全国 
Image14001001-0220.jpg,"3月以来线上登记船舶数量实现高速增长,近三个月线上登记船舶总数为",6,140010010220,月线上登记船舶总数 线上登记船舶数量 
Image14001001-0244.jpg,"校园安全防患于未""燃"",这些要点要知道",7,140010010244,校园安全防患于 要点 
Image14001001-0261.jpg,4240万像素背照全幅 索尼rx1rii相机展出,8,140010010261,像素背照全幅 相机 
Image14001001-0341.jpg,"因为不论演谁,他都有自己独有的味道.",9,140010010341,味道 
Image14001001-0349.jpg,到底稳吗?客服说稳!会放款失败吗?,10,140010010349,客服 失败 
Image14001001-0420.jpg,"外头醒目的白底黑字招牌,洋溢著日式道地的视觉享受;店内红,黑",11,140010010420,日式道地 白底黑字招牌 店 
Image14001001-0476.jpg,"内搭的针织衫与包包同色系,还有骚气的橘色大衣,惹眼又很时髦.",12,140010010476,针织衫 橘色大衣 骚气 
Image14001001-0512.jpg,西风狂诗曲:正传创世纪战ⅲ,13,140010010512,西风狂诗曲:正传创世纪战ⅲ
Image14001001-0598.jpg,我希望你也这样做.不要为了感情抹杀自己的尊严和良心.,14,140010010598,尊严 良心 感情 
Image14001001-0638.jpg,庄严训词激发豪迈力量铮铮誓言展示忠诚品格猎猎警旗指引前进方向,15,140010010638,庄严训词 忠诚品格 豪迈力量 
Image14001001-0668.jpg,"男子骑自行车,汽车一直按喇叭,男子偏不让,结果损失了",16,140010010668,男子 喇叭 自行车 
